('名次', '选手', '战队', '位置', '出场次数', 'KDA', '参团率', '场均击杀', '单场最高击杀', '场均死亡', '单场最高死亡', '场均助攻', '单场最高助攻', 'GPM', 'CSPM', '每分钟输出', '输出占比', '每分钟承受伤害', '承受伤害占比', '每分钟插眼数', '每分钟排眼数')
['32', 'Niko3333', 'TE', '辅助', '3', '2.0', '76.9%', '1.3', '3', '3.3', '6', '5.3', '11', '226', '0.44', '140', '8.4%', '357', '13.2%', '1.28', '0.30']
['33', 'Mowarth', 'TE', '打野', '3', '1.5', '69.2%', '1.3', '3', '4.0', '5', '4.7', '9', '254', '2.96', '137', '8.2%', '612', '22.6%', '0.81', '0.29']
['34', 'Tiridus', 'TE', '中单', '3', '2.2', '76.9%', '3.7', '6', '3.0', '4', '3.0', '7', '354', '8.10', '460', '27.4%', '336', '12.4%', '0.42', '0.17']
['35', 'Sa1na', 'TE', 'ADC', '3', '2.6', '69.2%', '1.3', '3', '2.3', '4', '4.7', '8', '350', '8.03', '509', '30.3%', '417', '15.4%', '0.10', '0.10']
['36', 'Xaxus', 'NF', '上单', '12', '2.5', '62.3%', '1.6', '5', '2.7', '6', '5.2', '9', '303', '6.17', '394', '23.2%', '643', '25.5%', '0.27', '0.09']
['37', 'Obvious', 'NF', '打野', '12', '3.4', '78.5%', '2.2', '5', '2.5', '5', '6.3', '15', '267', '2.88', '241', '14.2%', '670', '26.6%', '0.68', '0.16']
['38', 'SozPurefect', 'NF', '中单', '12', '2.8', '74.6%', '3.5', '7', '2.9', '7', '4.6', '11', '337', '7.20', '397', '23.4%', '394', '15.7%', '0.27', '0.17']
['39', 'Sedrion', 'NF', 'ADC', '12', '3.7', '76.2%', '3.1', '9', '2.2', '4', '5.2', '10', '366', '8.21', '537', '31.6%', '483', '19.2%', '0.12', '0.13']
['40', 'Mountain', 'NF', '辅助', '12', '3.3', '77.7%', '0.5', '2', '2.6', '6', '7.9', '16', '221', '0.46', '128', '7.6%', '330', '13.1%', '1.07', '0.27']
['41', 'Dioud', 'MC', '辅助', '3', '4.0', '51.6%', '1.0', '3', '1.3', '3', '4.3', '9', '260', '0.80', '132', '7.1%', '334', '13.8%', '1.02', '0.23']
['42', 'zeclipse', 'MC', '上单', '3', '3.8', '48.4%', '1.3', '2', '1.3', '3', '3.7', '8', '335', '6.51', '444', '23.7%', '578', '23.8%', '0.30', '0.04']
['43', 'abariaa', 'MC', '中单', '3', '8.5', '54.8%', '4.0', '7', '0.7', '2', '1.7', '3', '392', '8.42', '489', '26.1%', '446', '18.4%', '0.28', '0.11']
['44', 'Crykee', 'MC', 'ADC', '3', '4.0', '38.7%', '1.3', '3', '1.0', '1', '2.7', '5', '387', '9.00', '462', '24.7%', '364', '15.0%', '0.17', '0.04']
['45', 'Gilius', 'MC', '打野', '3', '2.7', '61.3%', '2.7', '4', '2.3', '4', '3.7', '8', '315', '3.50', '345', '18.4%', '705', '29.0%', '0.41', '0.16']
['46', 'Zvene', 'ASC', '上单', '2', '2.7', '72.7%', '1.0', '2', '4.5', '6', '11.0', '15', '279', '5.00', '414', '21.3%', '765', '25.5%', '0.36', '0.11']
['47', 'Mister', 'ASC', '打野', '2', '2.2', '78.8%', '2.5', '5', '6.0', '7', '10.5', '15', '286', '3.76', '285', '14.7%', '889', '29.7%', '0.16', '0.16']
['48', 'Flezeth', 'ASC', '中单', '2', '2.5', '84.8%', '5.0', '7', '5.5', '7', '9.0', '17', '348', '6.80', '536', '27.5%', '503', '16.8%', '0.30', '0.15']
['49', 'Ladooscuro', 'ASC', 'ADC', '2', '3.1', '66.7%', '6.0', '11', '3.5', '4', '5.0', '6', '359', '7.43', '564', '29.0%', '462', '15.4%', '0.25', '0.11']
['50', 'Angelas', 'ASC', '辅助', '2', '3.6', '87.9%', '2.0', '3', '4.0', '4', '12.5', '19', '237', '0.35', '146', '7.5%', '375', '12.5%', '1.20', '0.26']
['51', 'Nono', 'SPA', 'ADC', '2', '2.2', '70.6%', '3.5', '6', '5.5', '6', '8.5', '10', '339', '6.96', '529', '22.7%', '571', '18.1%', '0.17', '0.07']
['52', 'Shaunz', 'SPA', '打野', '2', '1.9', '76.5%', '2.5', '3', '7.0', '8', '10.5', '16', '258', '2.73', '228', '9.8%', '684', '21.7%', '0.73', '0.22']
['53', 'Lounet', 'SPA', '辅助', '2', '3.4', '79.4%', '0.5', '1', '4.0', '5', '13.0', '16', '241', '0.70', '363', '15.6%', '452', '14.3%', '0.93', '0.22']
['54', 'ShLaYa', 'SPA', '中单', '2', '2.2', '79.4%', '5.0', '9', '6.0', '7', '8.5', '9', '360', '7.63', '634', '27.2%', '618', '19.6%', '0.20', '0.09']
['55', 'Steve', 'SPA', '上单', '2', '2.0', '76.5%', '5.5', '7', '6.5', '9', '7.5', '11', '325', '6.24', '573', '24.6%', '830', '26.3%', '0.30', '0.09']
['56', 'Warrior Lady', 'DD', '上单', '4', '3.2', '61.4%', '2.8', '5', '4.2', '6', '10.8', '17', '328', '5.82', '471', '22.2%', '726', '25.3%', '0.25', '0.12']
['57', 'AnOnPsyCkO', 'DD', '打野', '4', '4.9', '77.3%', '3.5', '6', '3.5', '5', '13.5', '20', '301', '2.87', '284', '13.4%', '732', '25.5%', '0.60', '0.13']
['58', 'Dom1nant', 'DD', 'ADC', '4', '5.4', '67.0%', '9.8', '15', '2.8', '5', '5.0', '10', '450', '8.91', '655', '30.8%', '506', '17.7%', '0.23', '0.16']
['59', 'WildPanda', 'DD', '辅助', '4', '6.0', '75.0%', '1.8', '4', '2.8', '4', '14.8', '22', '279', '0.59', '212', '10.0%', '350', '12.2%', '1.42', '0.28']
['60', 'Magebane', 'DD', '中单', '4', '2.2', '50.0%', '4.2', '7', '5.0', '6', '6.8', '8', '373', '7.72', '505', '23.7%', '551', '19.2%', '0.16', '0.10']
['61', 'K3nSt3r', 'TS', '上单', '1', '0.4', '42.9%', '2.0', '2', '8.0', '8', '1.0', '1', '273', '3.37', '226', '18.6%', '911', '24.7%', '0.19', '0.00']
['62', 'K3nSt3r', 'TS', '打野', '1', '0.6', '55.6%', '0.0', '0', '9.0', '9', '5.0', '5', '245', '3.08', '225', '14.2%', '1059', '32.8%', '0.55', '0.14']
['63', 'Heavenstrike', 'TS', '中单', '2', '0.4', '37.5%', '2.0', '3', '7.5', '10', '1.0', '1', '288', '6.28', '423', '29.6%', '540', '15.8%', '0.30', '0.10']
['64', 'vioreleeee', 'TS', '辅助', '2', '0.8', '62.5%', '0.5', '1', '6.5', '7', '4.5', '6', '203', '0.86', '135', '9.5%', '632', '18.5%', '0.89', '0.10']
['65', 'Sir AlphaQ', 'TS', 'ADC', '2', '1.0', '56.2%', '2.5', '4', '4.5', '6', '2.0', '3', '300', '5.43', '328', '23.0%', '536', '15.7%', '0.12', '0.02']
['66', 'MaybeANickName', 'TS', '上单', '1', '0.4', '33.3%', '2.0', '2', '7.0', '7', '1.0', '1', '262', '4.98', '354', '22.3%', '614', '19.0%', '0.45', '0.10']
['67', 'MaybeANickName', 'TS', '打野', '1', '0.2', '28.6%', '2.0', '2', '8.0', '8', '0.0', '0', '242', '3.98', '264', '21.7%', '852', '23.1%', '0.42', '0.00']
['68', 'Tarky', 'CF', 'ADC', '1', '0.8', '42.9%', '0.0', '0', '4.0', '4', '3.0', '3', '186', '0.58', '100', '6.0%', '399', '13.9%', '1.01', '0.12']
['69', 'Tarky', 'CF', '辅助', '1', '1.0', '100.0%', '0.0', '0', '0.0', '0', '1.0', '1', '173', '0.64', '88', '8.4%', '238', '10.1%', '0.94', '0.23']
