('名次', '选手', '战队', '位置', '出场次数', 'KDA', '参团率', '场均击杀', '单场最高击杀', '场均死亡', '单场最高死亡', '场均助攻', '单场最高助攻', 'GPM', 'CSPM', '每分钟输出', '输出占比', '每分钟承受伤害', '承受伤害占比', '每分钟插眼数', '每分钟排眼数')
['53', 'GBM', 'JAF', '中单', '6', '1.3', '64.6%', '2.2', '5', '4.0', '7', '3.0', '10', '303', '6.44', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['54', 'Ryu', 'KT', '中单', '11', '4.7', '65.0%', '3.5', '7', '2.3', '5', '7.1', '13', '374', '8.03', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['55', 'Score', 'KT', 'ADC', '11', '6.7', '77.8%', '6.4', '13', '1.9', '6', '6.4', '14', '387', '7.42', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['56', 'InSec', 'KT', '打野', '11', '3.7', '58.9%', '3.8', '11', '2.6', '5', '5.8', '12', '294', '3.42', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['57', 'Leopard', 'KT', '上单', '11', '3.7', '53.3%', '1.5', '4', '2.4', '5', '7.3', '13', '342', '7.25', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['58', 'Mafa', 'KT', '辅助', '9', '4.4', '70.7%', '1.1', '3', '2.7', '6', '10.7', '16', '256', '0.80', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['59', 'Zero', 'KT', '辅助', '2', '3.3', '76.7%', '1.5', '2', '3.5', '4', '10.0', '14', '231', '0.84', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['60', 'Lustboy', 'CJB', '辅助', '20', '2.2', '70.4%', '0.5', '3', '4.0', '8', '8.2', '25', '233', '0.57', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['61', 'Emperor', 'CJB', 'ADC', '20', '2.9', '70.4%', '3.9', '15', '3.0', '7', '4.8', '11', '368', '7.54', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['62', 'Flame', 'CJB', '上单', '20', '3.4', '65.6%', '2.5', '8', '2.4', '7', '5.5', '14', '345', '7.14', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['63', 'Ambition', 'CJB', '中单', '20', '3.5', '74.5%', '3.5', '11', '2.6', '6', '5.8', '14', '369', '8.01', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['64', 'Daydream', 'CJB', '打野', '20', '2.8', '72.9%', '2.0', '7', '3.2', '8', '7.0', '19', '276', '2.81', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['65', 'Apple', 'IMiracle', '上单', '5', '2.6', '54.9%', '2.8', '5', '3.4', '7', '6.2', '8', '313', '5.56', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['66', 'Betkyo', 'IMiracle', 'ADC', '1', '5.0', '76.9%', '4.0', '4', '2.0', '2', '6.0', '6', '337', '6.99', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['67', 'KurO', 'IMiracle', '中单', '5', '6.2', '68.3%', '4.0', '8', '1.8', '5', '7.2', '9', '378', '7.94', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['68', 'Paragon', 'IMiracle', '辅助', '4', '15.3', '66.7%', '7.2', '9', '0.8', '2', '4.2', '8', '411', '7.87', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['69', 'Lasha', 'IMiracle', 'ADC', '4', '5.1', '59.4%', '0.5', '1', '2.0', '4', '9.8', '15', '250', '1.15', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['70', 'Lasha', 'IMiracle', '辅助', '1', '2.0', '61.5%', '0.0', '0', '4.0', '4', '8.0', '8', '189', '0.36', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['71', 'Reignover', 'IMiracle', '打野', '5', '3.6', '70.7%', '2.6', '5', '3.2', '6', '9.0', '14', '304', '3.09', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['72', 'Hanlabong', 'Prime Optimus', '上单', '6', '1.8', '51.7%', '1.7', '6', '2.8', '4', '3.3', '6', '317', '6.54', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['73', 'Old B', 'Prime Optimus', '打野', '6', '2.5', '65.5%', '2.0', '4', '2.5', '6', '4.3', '10', '266', '2.86', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['74', 'ZetNjin', 'Prime Optimus', 'ADC', '6', '2.4', '69.0%', '3.0', '6', '2.8', '5', '3.7', '8', '347', '7.36', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['75', 'Kkyul', 'Prime Optimus', '辅助', '6', '2.0', '74.1%', '0.8', '3', '3.5', '6', '6.3', '11', '214', '0.90', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['76', 'Ninja', 'Prime Optimus', '中单', '6', '2.6', '70.7%', '2.2', '5', '2.7', '7', '4.7', '8', '347', '8.10', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['77', 'SSUN', 'Midas FIO', '打野', '6', '0.7', '66.7%', '1.5', '4', '6.2', '8', '2.8', '4', '241', '3.04', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['78', 'Nexus', 'Midas FIO', '中单', '6', '1.0', '76.9%', '1.8', '4', '5.2', '7', '3.2', '5', '308', '7.18', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['79', 'Lactea', 'Midas FIO', 'ADC', '6', '1.0', '64.1%', '1.0', '2', '4.2', '7', '3.2', '5', '314', '7.38', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['80', 'Olleh', 'Midas FIO', '辅助', '6', '0.9', '76.9%', '1.0', '2', '5.5', '8', '4.0', '6', '209', '0.92', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['81', 'Expect', 'Midas FIO', '上单', '6', '0.8', '56.4%', '1.2', '2', '4.7', '7', '2.5', '7', '253', '4.84', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['82', 'Vin', 'Xenics Storm', '打野', '6', '1.2', '67.3%', '2.2', '5', '4.7', '7', '3.3', '10', '242', '2.74', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['83', 'Ren', 'Xenics Storm', '上单', '6', '0.9', '49.0%', '0.8', '2', '4.3', '6', '3.2', '8', '280', '5.80', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['84', 'Alvingo', 'Xenics Storm', '中单', '6', '1.5', '71.4%', '1.7', '4', '4.0', '7', '4.2', '11', '307', '6.70', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['85', 'ink', 'Xenics Storm', '辅助', '6', '2.3', '75.5%', '0.5', '2', '2.7', '5', '5.7', '14', '219', '0.65', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
20
['1', 'kez', 'C9T', '打野', '6', '2.6', '72.2%', '3.3', '5', '3.3', '7', '5.3', '11', '266', '3.10', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['2', 'Bischu', 'C9T', '中单', '6', '4.3', '72.2%', '1.7', '5', '2.0', '3', '7.0', '12', '319', '6.89', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['3', 'Altec', 'C9T', 'ADC', '6', '8.7', '72.2%', '6.0', '13', '1.0', '2', '2.7', '4', '394', '9.23', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['4', 'Gleeb', 'C9T', '辅助', '6', '3.0', '75.0%', '0.3', '1', '3.0', '5', '8.7', '17', '219', '0.58', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['5', 'Yazuki', 'C9T', '上单', '6', '1.4', '47.2%', '0.7', '2', '4.0', '5', '5.0', '8', '319', '7.65', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['6', 'Vasilii', 'LMQ', 'ADC', '12', '4.2', '54.3%', '2.3', '4', '2.0', '7', '6.2', '8', '396', '8.32', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['7', 'Mor', 'LMQ', '辅助', '12', '6.1', '64.9%', '1.3', '4', '1.7', '4', '8.8', '11', '263', '0.61', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['8', 'GodLike', 'LMQ', '上单', '12', '5.9', '50.0%', '3.2', '7', '1.3', '4', '4.7', '9', '372', '7.61', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['9', 'NoName', 'LMQ', '打野', '12', '5.2', '72.3%', '3.5', '7', '2.2', '6', '7.8', '11', '324', '3.02', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['10', 'XiaoWeiXiao', 'LMQ', '中单', '12', '11.7', '74.5%', '5.3', '10', '1.0', '4', '6.3', '10', '459', '10.35', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['11', 'Mash', 'CA', 'ADC', '8', '6.2', '64.1%', '5.5', '8', '2.0', '3', '7.0', '10', '426', '8.20', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['12', 'Zekent', 'CA', '辅助', '4', '7.7', '65.7%', '2.0', '4', '1.5', '2', '9.5', '13', '278', '0.52', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['13', 'Rhux', 'CA', '上单', '8', '10.4', '66.7%', '5.0', '9', '1.2', '4', '8.0', '12', '403', '7.46', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['14', 'Pat', 'CA', '打野', '8', '5.2', '73.1%', '4.5', '7', '2.8', '5', '9.8', '11', '345', '3.49', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['15', 'Duocek', 'CA', '中单', '8', '3.3', '46.2%', '3.2', '5', '2.8', '4', '5.8', '8', '394', '7.87', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['16', 'Kabigon', 'CA', '辅助', '4', '3.4', '62.8%', '0.5', '1', '4.0', '7', '13.0', '13', '277', '0.60', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['17', 'CaliTrlolz8', 'T8', '上单', '8', '1.4', '50.0%', '1.5', '3', '4.0', '7', '4.2', '12', '343', '7.31', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['18', 'Slooshi', 'T8', '中单', '8', '3.6', '63.0%', '3.8', '8', '2.0', '3', '3.5', '5', '363', '7.67', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['19', 'maplestreet8', 'T8', 'ADC', '8', '2.1', '58.7%', '2.8', '5', '3.2', '5', '4.0', '9', '398', '9.07', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['20', 'Dodo', 'T8', '辅助', '8', '2.9', '56.5%', '1.5', '3', '2.2', '3', '5.0', '10', '225', '0.74', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['21', 'Guess8', 'T8', '打野', '8', '2.0', '65.2%', '2.0', '7', '3.8', '5', '5.5', '10', '312', '3.96', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['22', 'Hauntzer', 'PRO', '上单', '8', '4.6', '71.9%', '3.0', '5', '2.2', '4', '7.2', '12', '335', '6.80', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['23', 'NyJacky', 'PRO', '中单', '8', '6.2', '87.7%', '4.5', '5', '2.0', '5', '8.0', '15', '352', '6.65', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['24', 'heavenTime', 'PRO', '打野', '8', '3.7', '84.2%', '4.0', '6', '3.2', '7', '8.0', '10', '287', '2.88', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['25', 'Pally', 'PRO', '辅助', '8', '3.9', '75.4%', '0.2', '1', '2.8', '6', '10.5', '17', '240', '0.33', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['26', 'LOD', 'PRO', 'ADC', '8', '1.7', '59.6%', '2.5', '8', '5.0', '10', '6.0', '10', '342', '7.37', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['27', 'Master Yoshii', 'NBD', '上单', '2', '1.0', '50.0%', '2.0', '2', '3.0', '3', '1.0', '1', '270', '6.25', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['28', 'Aerodactyl', 'NBD', '打野', '2', '1.3', '66.7%', '1.0', '1', '3.0', '3', '3.0', '3', '212', '3.09', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['29', 'Aniratak', 'NBD', '中单', '2', '1.2', '83.3%', '0.0', '0', '4.0', '4', '5.0', '5', '247', '5.53', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['30', 'Jummychu', 'NBD', 'ADC', '2', '3.0', '100.0%', '3.0', '3', '2.0', '2', '3.0', '3', '314', '7.15', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['31', 'Maria', 'NBD', '辅助', '2', '1.0', '66.7%', '0.0', '0', '4.0', '4', '4.0', '4', '177', '0.22', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['32', 'Impactful', 'CLR', 'ADC', '4', '1.7', '83.3%', '1.5', '2', '3.0', '4', '3.5', '5', '338', '8.63', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['33', 'Nk Inc', 'CLR', '打野', '4', '1.2', '91.7%', '2.5', '4', '4.5', '5', '3.0', '4', '265', '3.64', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['34', 'Jezie', 'CLR', '上单', '4', '2.0', '116.7%', '1.5', '3', '3.5', '4', '5.5', '6', '287', '5.99', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['35', 'Goldenglue', 'CLR', '中单', '4', '2.0', '93.3%', '1.5', '2', '3.5', '5', '5.5', '6', '351', '8.96', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['36', 'Goldenglue', 'CLR', '辅助', '4', '1.5', '75.0%', '0.5', '1', '3.0', '4', '4.0', '5', '203', '0.45', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['37', ' Arthelon', 'STN', '上单', '2', '0.5', '60.0%', '1.0', '1', '6.0', '6', '2.0', '2', '249', '5.18', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['38', 'Chuuper', 'STN', '中单', '2', '2.0', '40.0%', '1.0', '1', '1.0', '1', '1.0', '1', '307', '8.05', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['39', 'ecko', 'STN', 'ADC', '2', '1.5', '60.0%', '1.0', '1', '2.0', '2', '2.0', '2', '308', '7.74', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['40', 'Baottousai', 'STN', '辅助', '2', '0.6', '60.0%', '0.0', '0', '5.0', '5', '3.0', '3', '176', '0.28', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['41', 'Pants are Dragon', 'STN', '打野', '2', '1.7', '100.0%', '2.0', '2', '3.0', '3', '3.0', '3', '246', '3.42', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['42', 'ExecutionerKen', 'TBP', '辅助', '2', '0.8', '66.7%', '0.0', '0', '5.0', '5', '4.0', '4', '214', '1.06', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['43', 'PAPA WHEELY', 'TBP', '上单', '2', '1.0', '33.3%', '1.0', '1', '2.0', '2', '1.0', '1', '322', '8.08', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['44', 'Loc Tran', 'TBP', '打野', '2', '0.6', '66.7%', '1.0', '1', '7.0', '7', '3.0', '3', '249', '2.76', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['45', 'ArcZSlash', 'TBP', '中单', '2', '1.0', '66.7%', '3.0', '3', '4.0', '4', '1.0', '1', '353', '8.82', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['46', 'The Best in SJ', 'TBP', 'ADC', '2', '0.5', '50.0%', '1.0', '1', '6.0', '6', '2.0', '2', '304', '6.87', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['47', 'J newera', 'KOT', '上单', '2', '3.0', '64.3%', '4.0', '4', '3.0', '3', '5.0', '5', '323', '7.02', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['48', ' Dkrupt', 'KOT', '打野', '2', '5.0', '71.4%', '3.0', '3', '2.0', '2', '7.0', '7', '252', '2.89', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['49', 'Ted3', 'KOT', 'ADC', '2', '5.5', '78.6%', '4.0', '4', '2.0', '2', '7.0', '7', '353', '7.65', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['50', 'Armorbreak', 'KOT', '辅助', '2', '1.8', '50.0%', '0.0', '0', '4.0', '4', '7.0', '7', '218', '1.27', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['51', 'Yahoo', 'KOT', '中单', '2', '12.0', '85.7%', '3.0', '3', '1.0', '1', '9.0', '9', '346', '7.65', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['52', 'Cris', 'vVv', '上单', '14', '3.9', '50.9%', '2.3', '4', '2.0', '5', '5.4', '13', '340', '7.47', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['53', 'Get Snuggled', 'vVv', '打野', '14', '2.2', '58.5%', '2.9', '7', '4.0', '8', '6.0', '11', '279', '2.98', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['54', 'Normalize', 'vVv', '辅助', '4', '1.4', '54.8%', '0.5', '1', '6.0', '9', '8.0', '11', '200', '0.35', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['55', '', 'vVv', 'ADC', '14', '6.0', '73.6%', '4.9', '11', '1.9', '4', '6.3', '12', '382', '7.76', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['56', 'GauNtyFiZzLe', 'vVv', '辅助', '10', '4.8', '57.3%', '0.8', '3', '1.8', '2', '7.8', '12', '231', '0.64', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
24
['1', 'Makler', 'MS', 'ADC', '4', '3.3', '74.2%', '4.5', '5', '3.5', '4', '7.0', '9', '373', '8.39', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['2', 'Mokatte', 'MS', '打野', '4', '1.1', '51.6%', '1.5', '2', '7.0', '8', '6.5', '9', '252', '2.65', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['3', 'Kubon', 'MS', '上单', '4', '2.0', '64.5%', '5.0', '7', '5.0', '5', '5.0', '6', '330', '6.21', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['4', 'TakeFun', 'MS', '中单', '4', '2.8', '71.0%', '4.0', '6', '4.0', '5', '7.0', '10', '370', '8.49', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['5', 'Libik', 'MS', '辅助', '4', '1.7', '64.5%', '0.5', '1', '6.0', '7', '9.5', '12', '207', '0.67', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['6', 'Febiven', 'H2K', '中单', '4', '3.0', '42.9%', '2.5', '3', '1.5', '3', '2.0', '3', '347', '9.09', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['7', 'Odoamne', 'H2K', '上单', '4', '0.9', '47.6%', '1.0', '2', '5.5', '7', '4.0', '6', '304', '7.15', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['8', 'Ihazballz', 'H2K', '打野', '4', '1.2', '71.4%', '2.5', '4', '6.0', '6', '5.0', '5', '269', '3.41', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['9', 'Voidle', 'H2K', '辅助', '4', '0.9', '47.6%', '1.0', '1', '5.5', '6', '4.0', '5', '201', '0.38', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['10', 'Hjarnan', 'H2K', 'ADC', '4', '2.0', '66.7%', '3.5', '6', '3.5', '4', '3.5', '4', '362', '8.37', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['11', 'Babunia', 'DNE', '上单', '8', '3.8', '61.8%', '2.0', '3', '2.2', '5', '6.5', '16', '351', '7.86', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['12', 'Babunia', 'DNE', 'ADC', '2', '2.0', '47.6%', '3.0', '3', '5.0', '5', '7.0', '7', '384', '7.38', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['13', 'p3rmm', 'DNE', '辅助', '10', '2.8', '55.3%', '1.2', '3', '3.0', '4', '7.2', '13', '241', '0.50', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['14', 'Woolite', 'DNE', '上单', '2', '2.2', '52.4%', '3.0', '3', '5.0', '5', '8.0', '8', '390', '7.16', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['15', 'Woolite', 'DNE', 'ADC', '8', '3.7', '67.3%', '4.0', '9', '2.5', '4', '5.2', '9', '372', '8.50', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['16', 'niQ', 'DNE', '打野', '2', '3.5', '66.7%', '10.0', '10', '4.0', '4', '4.0', '4', '450', '8.79', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['17', 'niQ', 'DNE', '中单', '8', '4.1', '60.0%', '3.0', '6', '2.0', '3', '5.2', '10', '373', '8.89', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['18', 'Kikis', 'DNE', '打野', '8', '3.5', '76.4%', '3.2', '5', '3.0', '4', '7.2', '16', '297', '3.61', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['19', 'Kikis', 'DNE', '中单', '2', '4.7', '66.7%', '5.0', '5', '3.0', '3', '9.0', '9', '357', '3.80', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['20', 'Sixx', 'SKP', 'ADC', '2', '4.0', '76.2%', '2.0', '2', '4.0', '4', '14.0', '14', '253', '0.74', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['21', 'Zvanillan', 'SKP', '中单', '2', '4.2', '81.0%', '9.0', '9', '4.0', '4', '8.0', '8', '398', '8.12', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['22', 'Mozilla', 'SKP', '上单', '2', '3.0', '57.1%', '6.0', '6', '4.0', '4', '6.0', '6', '329', '6.27', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['23', 'Perry', 'SKP', '辅助', '2', '3.0', '71.4%', '3.0', '3', '5.0', '5', '12.0', '12', '322', '4.02', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['24', 'Exileh', 'SKP', '打野', '2', '2.5', '47.6%', '1.0', '1', '4.0', '4', '9.0', '9', '328', '7.87', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['25', 'Barney D', 'Reason Gaming', '上单', '2', '4.0', '61.5%', '1.0', '1', '2.0', '2', '7.0', '7', '261', '0.57', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['26', 'Barney D', 'Reason Gaming', '辅助', '12', '3.6', '74.1%', '1.2', '2', '3.8', '5', '12.7', '20', '257', '0.48', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['27', 'Krislund', 'Reason Gaming', '打野', '2', '20.0', '76.9%', '3.0', '3', '0.0', '0', '7.0', '7', '435', '10.50', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['28', 'Krislund', 'Reason Gaming', 'ADC', '12', '5.5', '64.3%', '5.7', '12', '2.2', '5', '6.3', '12', '397', '8.58', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['29', 'Beansu', 'Reason Gaming', '上单', '12', '3.7', '46.4%', '1.7', '5', '2.3', '5', '7.0', '14', '321', '6.36', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['30', 'Beansu', 'Reason Gaming', '辅助', '2', '7.0', '53.8%', '4.0', '4', '1.0', '1', '3.0', '3', '413', '9.46', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['31', 'Trashy', 'Reason Gaming', '打野', '12', '6.6', '65.2%', '5.2', '8', '1.8', '4', '7.0', '13', '321', '3.64', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['32', 'Trashy', 'Reason Gaming', 'ADC', '2', '11.0', '84.6%', '2.0', '2', '1.0', '1', '9.0', '9', '342', '3.49', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['33', 'Sencux', 'Reason Gaming', '中单', '14', '4.2', '56.8%', '4.7', '10', '2.4', '4', '5.4', '10', '357', '7.11', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['34', 'ocelote', 'G2d', '打野', '2', '4.0', '80.0%', '5.0', '5', '4.0', '4', '11.0', '11', '369', '7.63', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['35', 'ocelote', 'G2d', '中单', '4', '2.5', '62.5%', '0.5', '1', '2.0', '2', '4.5', '8', '323', '7.77', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['36', 'Dioud', 'G2d', '上单', '2', '7.5', '75.0%', '0.0', '0', '2.0', '2', '15.0', '15', '222', '0.55', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['37', 'Dioud', 'G2d', '辅助', '4', '1.0', '43.8%', '0.0', '0', '3.5', '5', '3.5', '5', '197', '0.51', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['38', 'Jwaow', 'G2d', '上单', '4', '1.6', '50.0%', '1.5', '3', '2.5', '3', '2.5', '4', '334', '8.25', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['39', 'Jwaow', 'G2d', 'ADC', '2', '4.5', '45.0%', '1.0', '1', '2.0', '2', '8.0', '8', '323', '6.71', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['40', 'Yuuki60', 'G2d', 'ADC', '4', '2.4', '75.0%', '4.0', '6', '2.5', '3', '2.0', '4', '377', '9.27', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['41', 'Yuuki60', 'G2d', '辅助', '2', '6.3', '95.0%', '11.0', '11', '3.0', '3', '8.0', '8', '409', '8.30', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['42', 'Morden', 'G2d', '打野', '4', '2.8', '87.5%', '2.0', '3', '2.5', '3', '5.0', '8', '258', '2.81', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['43', 'Morden', 'G2d', '中单', '2', '4.7', '70.0%', '3.0', '3', '3.0', '3', '11.0', '11', '273', '2.80', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['44', 'Sigu', 'NF', '中单', '2', '8.0', '66.7%', '1.0', '1', '0.0', '0', '3.0', '3', '302', '7.62', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['45', 'Obvious', 'NF', '打野', '2', '1.2', '83.3%', '1.0', '1', '4.0', '4', '4.0', '4', '273', '4.70', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['46', 'Sedrion', 'NF', 'ADC', '2', '1.5', '50.0%', '1.0', '1', '2.0', '2', '2.0', '2', '318', '8.56', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['47', 'Mountain', 'NF', '辅助', '2', '0.5', '33.3%', '0.0', '0', '4.0', '4', '2.0', '2', '158', '0.47', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['48', 'Pronbear', 'NF', '上单', '2', '1.7', '83.3%', '3.0', '3', '3.0', '3', '2.0', '2', '306', '6.91', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['49', 'Ritix', 'CSG', 'ADC', '12', '3.5', '68.8%', '6.7', '11', '3.2', '5', '4.3', '8', '433', '8.42', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['50', 'Lasagna', 'CSG', '打野', '12', '2.1', '58.3%', '1.3', '4', '4.5', '9', '8.0', '13', '284', '3.37', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['51', 'Masterwork', 'CSG', '辅助', '12', '4.0', '75.0%', '1.2', '2', '3.0', '6', '10.8', '16', '259', '0.52', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['52', 'Sleeping', 'CSG', '上单', '2', '6.5', '61.9%', '2.0', '2', '2.0', '2', '11.0', '11', '323', '5.94', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['53', 'bebe', 'CSG', '中单', '12', '2.6', '61.5%', '4.0', '9', '3.8', '8', '5.8', '9', '368', '7.91', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
['54', 'Morsu', 'CSG', '上单', '10', '1.8', '40.0%', '3.0', '8', '3.4', '6', '3.0', '8', '352', '7.66', '0', '0.0%', '0', '0.0%', '0.00', '0.00']
