名次,战队,KDA,场均击杀,场均死亡,每分钟伤害,一血率,场均时长,场均经济,每分钟经济,每分钟补刀,场均小龙,小龙控制率,场均大龙,大龙控制率,每分钟插眼,每分钟排眼,排眼效率,场均推塔数,场均被推塔数,year,Season
7, EDG, 3.8, 12.1, 11.8, 1692, 44.4%, 32:3, 52973, 1652, 27.97, 1.4, 43.3%, 0.4, 30.8%, 3.76, 1.07, 32.3%, 5.7, 6.6, 2015, 2015全球总决赛
8, AHQ, 2.9, 12.5, 13.5, 1681, 30.0%, 35:45, 57801, 1616, 28.05, 2.1, 52.5%, 0.5, 45.5%, 3.54, 1.14, 34.8%, 6.2, 6.1, 2015, 2015全球总决赛
9, KT, 5.0, 14.4, 10.0, 1689, 80.0%, 38:32, 64501, 1673, 30.19, 1.6, 42.1%, 0.6, 42.9%, 4.12, 1.09, 29.5%, 6.9, 6.2, 2015, 2015全球总决赛
10, HLE, 4.9, 16.2, 11.5, 2008, 52.9%, 35:35, 60325, 1694, 28.16, 2.1, 59.3%, 0.8, 56.5%, 3.81, 1.00, 29.2%, 7.5, 5.4, 2015, 2015全球总决赛
11, IG, 3.2, 11.7, 13.2, 1495, 50.0%, 36:8, 56322, 1558, 27.77, 1.8, 45.8%, 0.5, 33.3%, 3.20, 1.10, 33.1%, 3.7, 8.5, 2015, 2015全球总决赛
12, LGD, 2.6, 13.5, 16.8, 1769, 33.3%, 37:39, 60562, 1608, 27.67, 2.0, 50.0%, 0.8, 62.5%, 3.35, 1.16, 33.9%, 5.5, 7.8, 2015, 2015全球总决赛
13, FW, 4.7, 14.0, 11.0, 2062, 60.0%, 41:44, 67851, 1625, 27.00, 2.3, 48.9%, 1.2, 70.6%, 3.57, 1.19, 32.8%, 7.6, 7.2, 2015, 2015全球总决赛
14, TSM, 2.4, 10.7, 16.8, 1604, 66.7%, 41:42, 61813, 1481, 25.91, 2.2, 44.8%, 0.2, 12.5%, 3.32, 1.11, 29.2%, 5.0, 9.0, 2015, 2015全球总决赛
15, BKT, 1.3, 7.5, 20.0, 1448, 0.0%, 28:33, 39569, 1385, 24.23, 0.3, 13.3%, 0.0, 0.0%, 2.71, 0.85, 27.0%, 1.3, 9.0, 2015, 2015全球总决赛
1, CST, 5.0, 14.0, 10.3, 2198, 66.7%, 48:30, 84123, 1734, 31.81, 5.0, 75.0%, 1.3, 57.1%, 4.18, 1.13, 31.6%, 10.3, 5.0, 2015, 2016LCS北美赛区春季赛资格赛
2, T8, 5.2, 13.0, 9.8, 1763, 75.0%, 32:28, 55161, 1698, 28.83, 3.0, 75.0%, 0.8, 75.0%, 3.33, 1.31, 38.8%, 7.5, 4.0, 2015, 2016LCS北美赛区春季赛资格赛
3, NME, 2.7, 10.3, 14.0, 2245, 33.3%, 48:30, 71674, 1477, 26.59, 1.7, 25.0%, 1.0, 42.9%, 3.57, 1.34, 32.1%, 5.0, 10.3, 2015, 2016LCS北美赛区春季赛资格赛
1, SK, 2.8, 14.4, 17.8, 1804, 60.0%, 36:4, 59878, 1659, 27.79, 1.8, 40.9%, 0.8, 57.1%, 2.58, 0.90, 29.7%, 5.4, 7.0, 2015, 2016LCS欧洲赛区春季赛资格赛
2, GMB, 11.3, 18.7, 6.0, 2010, 100.0%, 29:59, 55586, 1853, 27.53, 2.3, 63.6%, 1.0, 100.0%, 3.25, 0.96, 36.9%, 10.0, 2.0, 2015, 2016LCS欧洲赛区春季赛资格赛
3, MS, 1.2, 6.0, 18.7, 1405, 0.0%, 29:59, 41013, 1367, 23.32, 1.3, 36.4%, 0.0, 0.0%, 2.59, 0.93, 28.8%, 2.0, 10.0, 2015, 2016LCS欧洲赛区春季赛资格赛
1, EDG, 6.3, 22.8, 13.0, 0, 0.0%, 44:36, 0, 0, 29.65, 3.3, 48.8%, 1.2, 70.0%, 0.00, 0.00, 0.0%, 8.3, 4.5, 2015, 2015S5LPL预选赛
2, IG, 4.4, 20.8, 16.8, 0, 0.0%, 42:26, 0, 0, 29.82, 4.0, 67.9%, 1.1, 66.7%, 0.00, 0.00, 0.0%, 7.9, 5.3, 2015, 2015S5LPL预选赛
3, SS, 1.4, 13.0, 27.2, 0, 0.0%, 38:22, 0, 0, 27.11, 1.4, 29.2%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 3.2, 9.2, 2015, 2015S5LPL预选赛
1, KDM, 0.8, 3.3, 12.7, 993, 33.3%, 40:11, 57679, 1435, 29.94, 0.7, 15.4%, 0.0, 0.0%, 3.72, 1.28, 34.0%, 3.0, 9.0, 2015, 2015S5LCK韩国赛区预选赛
2, CJE, 2.7, 7.6, 9.6, 1308, 60.0%, 33:20, 52759, 1582, 29.50, 1.4, 43.8%, 0.2, 16.7%, 3.53, 1.47, 40.1%, 5.0, 5.2, 2015, 2015S5LCK韩国赛区预选赛
3, KT, 4.3, 10.5, 8.5, 1324, 50.0%, 41:37, 68997, 1657, 31.38, 2.0, 42.1%, 0.8, 50.0%, 4.16, 1.39, 37.8%, 7.5, 5.0, 2015, 2015S5LCK韩国赛区预选赛
1, C9, 3.8, 14.0, 12.7, 2021, 35.7%, 35:54, 60710, 1690, 28.28, 1.6, 50.0%, 1.0, 70.0%, 2.81, 1.19, 36.7%, 7.2, 6.3, 2015, 2015S5LCS北美赛区预选赛
2, GV, 2.9, 10.8, 13.2, 1529, 60.0%, 35:3, 55736, 1590, 28.29, 1.2, 42.9%, 0.6, 50.0%, 3.61, 1.00, 36.3%, 5.8, 7.4, 2015, 2015S5LCS北美赛区预选赛
3, P1, 3.6, 16.4, 15.2, 1793, 80.0%, 33:49, 56841, 1680, 27.47, 2.0, 66.7%, 0.2, 16.7%, 3.22, 0.86, 31.9%, 7.0, 6.2, 2015, 2015S5LCS北美赛区预选赛
1, GIA, 0.8, 6.0, 21.0, 1470, 33.3%, 32:53, 47017, 1429, 27.51, 0.3, 9.1%, 0.0, 0.0%, 3.00, 0.81, 23.6%, 2.3, 10.3, 2015, 2015S5LCS欧洲赛区预选赛
2, ROC, 6.2, 15.0, 8.4, 1867, 62.5%, 37:26, 64752, 1729, 30.71, 2.8, 59.5%, 0.8, 46.2%, 3.37, 1.01, 30.5%, 7.2, 5.6, 2015, 2015S5LCS欧洲赛区预选赛
3, UOL, 1.6, 8.3, 17.0, 1460, 33.3%, 35:51, 53169, 1482, 27.19, 0.7, 20.0%, 0.0, 0.0%, 3.06, 0.71, 20.4%, 3.7, 10.7, 2015, 2015S5LCS欧洲赛区预选赛
1, DP, 2.4, 12.3, 18.0, 2033, 66.7%, 37:46, 61079, 1617, 28.69, 2.0, 48.0%, 0.8, 62.5%, 3.28, 1.05, 34.7%, 6.7, 6.8, 2015, S5赛季世界总决赛外卡赛
2, CHF, 3.7, 16.3, 15.6, 1839, 30.0%, 36:39, 59650, 1627, 26.31, 1.7, 39.5%, 0.5, 31.2%, 3.32, 0.84, 28.9%, 6.4, 6.1, 2015, S5赛季世界总决赛外卡赛
3, BKT, 4.2, 19.5, 15.3, 2276, 60.0%, 36:2, 61496, 1706, 27.59, 2.3, 62.2%, 1.0, 71.4%, 2.65, 1.17, 35.4%, 6.5, 5.4, 2015, S5赛季世界总决赛外卡赛
4, HR, 2.7, 14.2, 17.6, 2171, 60.0%, 43:42, 67679, 1548, 26.23, 2.2, 42.3%, 0.4, 22.2%, 3.24, 0.99, 29.6%, 6.4, 8.4, 2015, S5赛季世界总决赛外卡赛
5, PNG, 6.9, 18.3, 9.9, 2226, 85.7%, 43:37, 76591, 1755, 28.03, 4.6, 84.2%, 1.7, 85.7%, 3.44, 1.02, 33.3%, 11.0, 3.4, 2015, S5赛季世界总决赛外卡赛
6, KLG, 2.2, 11.2, 16.5, 1739, 12.5%, 41:29, 62844, 1514, 26.77, 1.1, 22.5%, 0.5, 30.8%, 3.13, 1.00, 29.3%, 4.4, 9.8, 2015, S5赛季世界总决赛外卡赛
1, TPA, 3.0, 16.4, 19.2, 2159, 80.0%, 40:8, 65048, 1620, 26.66, 1.6, 34.8%, 0.6, 37.5%, 3.30, 1.23, 32.0%, 6.2, 7.2, 2015, 2015S5港澳台地区预选赛
2, MSE, 0.4, 2.7, 22.7, 1493, 0.0%, 32:0, 42557, 1329, 25.88, 1.3, 36.4%, 0.0, 0.0%, 3.16, 0.98, 30.8%, 2.3, 10.7, 2015, 2015S5港澳台地区预选赛
3, HKA, 3.9, 15.1, 14.7, 1735, 30.0%, 38:59, 64600, 1656, 27.56, 2.7, 60.0%, 0.8, 47.1%, 3.66, 1.06, 31.9%, 6.0, 6.6, 2015, 2015S5港澳台地区预选赛
1, Oz RPG, 2.7, 13.0, 17.4, 0, 0.0%, 39:53, 0, 0, 28.08, 2.0, 45.5%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 5.2, 7.8, 2015, 2015LJL日本联赛总决赛
1, 杰伦队, 3.0, 28.0, 25.0, 0, 0.0%, 43:24, 69961, 1553, 21.31, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 2.0, 0.0, 2015, LOL娱乐竞技赛集合
1, CLG, 5.1, 17.2, 12.1, 2041, 72.0%, 36:43, 63160, 1719, 27.31, 2.3, 55.8%, 1.0, 67.6%, 2.83, 1.11, 36.5%, 8.4, 4.8, 2015, 2015LCS北美夏季赛
2, C9, 3.0, 12.2, 14.6, 1812, 36.8%, 36:48, 58674, 1594, 27.76, 1.7, 40.0%, 0.5, 36.0%, 2.85, 0.97, 31.4%, 5.6, 7.4, 2015, 2015LCS北美夏季赛
3, T8, 2.6, 11.4, 16.6, 1698, 57.9%, 39:47, 60904, 1530, 26.39, 1.9, 40.9%, 0.7, 41.9%, 3.11, 1.15, 37.6%, 5.5, 7.9, 2015, 2015LCS北美夏季赛
4, NME, 2.2, 10.7, 17.0, 1781, 16.7%, 37:40, 56555, 1501, 25.73, 1.9, 42.0%, 0.4, 24.1%, 3.07, 0.86, 27.5%, 4.7, 7.9, 2015, 2015LCS北美夏季赛
5, GV, 3.6, 13.2, 13.2, 1761, 43.5%, 38:29, 62543, 1624, 27.68, 2.6, 56.2%, 0.9, 58.8%, 3.35, 1.11, 35.0%, 7.0, 6.0, 2015, 2015LCS北美夏季赛
6, P1, 4.9, 15.8, 12.1, 1849, 58.6%, 37:11, 63550, 1708, 28.29, 2.7, 62.6%, 0.9, 63.4%, 3.28, 0.99, 33.1%, 7.0, 5.8, 2015, 2015LCS北美夏季赛
7, TL, 5.0, 14.7, 11.1, 1879, 59.3%, 40:42, 66963, 1645, 27.51, 2.3, 50.8%, 1.1, 68.2%, 2.99, 1.02, 33.7%, 7.6, 5.5, 2015, 2015LCS北美夏季赛
8, TDK, 2.3, 13.1, 19.1, 1915, 61.1%, 42:11, 65109, 1542, 27.14, 2.3, 47.1%, 0.4, 20.6%, 3.27, 1.16, 36.3%, 4.8, 8.9, 2015, 2015LCS北美夏季赛
9, TSM, 4.0, 12.9, 11.9, 1823, 31.0%, 41:34, 66944, 1610, 27.53, 2.3, 48.9%, 0.9, 52.1%, 3.14, 1.05, 33.4%, 7.7, 6.1, 2015, 2015LCS北美夏季赛
1, SK, 2.8, 13.9, 17.1, 1955, 38.9%, 39:14, 62178, 1584, 26.51, 2.3, 53.2%, 0.7, 43.3%, 2.84, 0.89, 30.2%, 6.4, 7.8, 2015, 2015LCS欧洲夏季赛
2, GMB, 2.4, 10.8, 14.4, 1967, 38.9%, 37:42, 60973, 1616, 29.11, 1.5, 37.0%, 0.7, 41.9%, 3.23, 0.93, 30.8%, 7.0, 7.3, 2015, 2015LCS欧洲夏季赛
3, FNC, 7.2, 17.5, 8.2, 2096, 57.7%, 35:49, 66094, 1845, 30.26, 2.6, 61.3%, 1.5, 80.9%, 3.29, 0.92, 30.2%, 9.5, 4.5, 2015, 2015LCS欧洲夏季赛
4, GIA, 2.6, 12.3, 16.4, 2140, 40.9%, 37:26, 59520, 1589, 27.32, 1.9, 44.7%, 0.7, 50.0%, 2.63, 0.77, 25.6%, 5.9, 7.5, 2015, 2015LCS欧洲夏季赛
5, CW, 1.9, 8.3, 14.0, 1552, 50.0%, 35:22, 52071, 1471, 26.48, 1.5, 37.0%, 0.4, 28.0%, 2.74, 0.78, 26.1%, 3.8, 9.3, 2015, 2015LCS欧洲夏季赛
6, ROC, 4.0, 14.1, 12.7, 1923, 37.5%, 42:35, 67988, 1596, 27.57, 2.4, 47.2%, 0.8, 42.6%, 3.11, 0.93, 29.9%, 6.5, 7.3, 2015, 2015LCS欧洲夏季赛
7, H2K, 4.5, 15.9, 11.9, 1961, 57.1%, 35:44, 59537, 1665, 27.08, 2.2, 53.5%, 0.6, 48.6%, 2.94, 0.86, 28.2%, 7.7, 5.4, 2015, 2015LCS欧洲夏季赛
8, UOL, 2.9, 11.7, 15.1, 1892, 51.7%, 37:49, 58773, 1554, 25.92, 2.1, 49.2%, 0.6, 42.9%, 3.04, 0.90, 29.5%, 6.3, 7.3, 2015, 2015LCS欧洲夏季赛
9, S04, 2.7, 10.9, 14.8, 1948, 55.6%, 39:53, 62136, 1557, 27.39, 2.1, 46.3%, 0.7, 43.3%, 3.08, 0.92, 31.3%, 5.9, 8.4, 2015, 2015LCS欧洲夏季赛
1, C9T, 6.6, 17.1, 9.4, 1838, 71.4%, 37:58, 63546, 1673, 26.79, 3.7, 81.2%, 0.7, 50.0%, 3.14, 1.04, 34.2%, 8.6, 4.1, 2015, 2015CS北美挑战者夏季预选赛
2, ZEN, 0.7, 6.0, 22.5, 1374, 0.0%, 30:22, 39825, 1311, 22.57, 1.0, 25.0%, 0.0, 0.0%, 2.98, 0.71, 25.7%, 1.5, 9.0, 2015, 2015CS北美挑战者夏季预选赛
3, AKA, 1.4, 9.5, 23.5, 1622, 0.0%, 39:45, 56622, 1424, 26.78, 1.0, 22.2%, 0.0, 0.0%, 3.17, 0.96, 27.9%, 2.0, 10.5, 2015, 2015CS北美挑战者夏季预选赛
4, TLA, 5.0, 15.2, 10.6, 1739, 40.0%, 37:11, 59504, 1600, 27.45, 2.4, 54.5%, 0.4, 25.0%, 2.84, 1.02, 30.7%, 6.0, 6.0, 2015, 2015CS北美挑战者夏季预选赛
5, IMG, 0.7, 3.5, 17.0, 1399, 0.0%, 36:34, 48196, 1318, 25.52, 1.0, 25.0%, 0.0, 0.0%, 3.32, 0.93, 30.8%, 1.5, 9.0, 2015, 2015CS北美挑战者夏季预选赛
6, ODY, 3.5, 13.4, 13.0, 1704, 60.0%, 33:51, 55924, 1651, 28.08, 2.4, 63.2%, 0.8, 66.7%, 3.09, 0.81, 29.1%, 6.0, 6.0, 2015, 2015CS北美挑战者夏季预选赛
7, Misfits, 7.2, 17.0, 8.1, 1828, 100.0%, 39:41, 69327, 1746, 27.57, 3.0, 67.7%, 2.0, 100.0%, 3.34, 1.06, 34.3%, 9.4, 2.7, 2015, 2015CS北美挑战者夏季预选赛
8, MAG, 2.3, 10.8, 14.8, 1905, 75.0%, 33:13, 49886, 1501, 24.77, 2.2, 60.0%, 0.5, 50.0%, 3.19, 0.76, 31.4%, 5.0, 6.0, 2015, 2015CS北美挑战者夏季预选赛
9, FCN, 2.3, 12.0, 17.3, 1479, 0.0%, 32:16, 46763, 1449, 23.27, 0.7, 16.7%, 0.3, 25.0%, 2.42, 0.76, 25.0%, 3.3, 7.7, 2015, 2015CS北美挑战者夏季预选赛
10, FFG, 1.1, 6.5, 20.5, 1291, 50.0%, 34:20, 47758, 1390, 25.14, 0.0, 0.0%, 0.5, 33.3%, 3.31, 0.93, 30.8%, 2.5, 9.0, 2015, 2015CS北美挑战者夏季预选赛
11, CLB, 4.7, 16.8, 13.4, 1972, 40.0%, 36:35, 60243, 1646, 25.90, 1.4, 30.4%, 0.8, 66.7%, 2.66, 0.94, 31.2%, 6.6, 5.4, 2015, 2015CS北美挑战者夏季预选赛
1, MS, 4.5, 12.4, 9.4, 1992, 44.4%, 35:50, 57058, 1592, 27.72, 2.0, 51.4%, 0.6, 62.5%, 2.17, 0.94, 32.5%, 5.9, 4.2, 2015, 2015CS欧洲挑战者夏季预选赛
2, BZ, 2.3, 24.0, 31.5, 2784, 0.0%, 35:58, 58564, 1627, 24.32, 2.5, 71.4%, 0.0, 0.0%, 2.10, 0.49, 24.8%, 4.0, 9.0, 2015, 2015CS欧洲挑战者夏季预选赛
3, DEU, 9.0, 16.5, 6.0, 1958, 100.0%, 40:27, 68421, 1691, 29.16, 3.5, 87.5%, 1.0, 100.0%, 2.98, 0.54, 24.7%, 8.5, 3.5, 2015, 2015CS欧洲挑战者夏季预选赛
4, Black Ravens, 3.8, 20.7, 18.0, 1466, 66.7%, 34:11, 55658, 1627, 24.66, 2.3, 58.3%, 0.3, 33.3%, 1.91, 0.29, 15.8%, 3.0, 7.7, 2015, 2015CS欧洲挑战者夏季预选赛
5, VG.eu, 2.2, 12.0, 18.0, 1779, 50.0%, 31:15, 44239, 1415, 23.50, 2.0, 66.7%, 0.0, 0.0%, 2.90, 0.75, 26.7%, 1.5, 8.0, 2015, 2015CS欧洲挑战者夏季预选赛
6, WG, 0.5, 4.5, 22.0, 1348, 0.0%, 22:49, 29585, 1296, 24.38, 0.0, 0.0%, 0.0, 0.0%, 2.02, 0.35, 14.8%, 0.0, 6.0, 2015, 2015CS欧洲挑战者夏季预选赛
7, CK, 4.1, 23.8, 19.0, 2614, 75.0%, 40:46, 68482, 1679, 25.33, 1.5, 33.3%, 1.2, 62.5%, 2.61, 0.85, 30.9%, 7.0, 6.2, 2015, 2015CS欧洲挑战者夏季预选赛
8, EA, 0.7, 5.0, 16.5, 1396, 50.0%, 27:25, 36103, 1316, 24.46, 0.5, 20.0%, 0.0, 0.0%, 2.44, 0.60, 27.7%, 1.0, 7.5, 2015, 2015CS欧洲挑战者夏季预选赛
9, LP, 3.2, 12.4, 12.4, 2114, 40.0%, 35:2, 54939, 1567, 26.75, 1.4, 36.8%, 0.6, 60.0%, 2.91, 0.77, 32.0%, 5.8, 4.0, 2015, 2015CS欧洲挑战者夏季预选赛
10, PHX, 1.5, 8.0, 17.5, 1703, 50.0%, 31:19, 44558, 1422, 24.82, 0.5, 20.0%, 0.0, 0.0%, 2.20, 0.78, 31.6%, 2.5, 10.5, 2015, 2015CS欧洲挑战者夏季预选赛
11, LT, 2.4, 13.6, 18.6, 2131, 40.0%, 34:52, 54433, 1560, 25.52, 1.4, 36.8%, 0.4, 33.3%, 1.96, 0.44, 23.3%, 5.6, 5.0, 2015, 2015CS欧洲挑战者夏季预选赛
12, Ex Nihilo, 2.9, 12.9, 14.5, 1938, 62.5%, 39:32, 62580, 1582, 27.02, 2.4, 54.3%, 1.0, 53.3%, 3.05, 0.85, 31.5%, 6.5, 5.5, 2015, 2015CS欧洲挑战者夏季预选赛
1, OMG, 4.5, 17.6, 13.2, 0, 0.0%, 29:43, 0, 0, 27.45, 1.8, 55.8%, 0.6, 53.3%, 0.00, 0.00, 0.0%, 6.5, 4.2, 2015, 2015德玛西亚杯—北京
2, RYL, 1.7, 9.7, 20.7, 0, 0.0%, 27:38, 0, 0, 25.65, 0.3, 14.3%, 0.3, 25.0%, 0.00, 0.00, 0.0%, 3.3, 5.7, 2015, 2015德玛西亚杯—北京
3, EDG, 8.1, 17.8, 8.3, 0, 0.0%, 35:45, 0, 0, 27.12, 2.6, 69.8%, 1.1, 80.0%, 0.00, 0.00, 0.0%, 8.6, 3.1, 2015, 2015德玛西亚杯—北京
4, IG, 3.3, 14.2, 14.5, 0, 0.0%, 36:14, 0, 0, 29.23, 1.6, 41.9%, 0.6, 50.0%, 0.00, 0.00, 0.0%, 6.9, 6.0, 2015, 2015德玛西亚杯—北京
5, LGD, 4.1, 16.0, 13.8, 0, 0.0%, 33:12, 0, 0, 28.43, 1.6, 47.1%, 0.5, 62.5%, 0.00, 0.00, 0.0%, 5.2, 4.8, 2015, 2015德玛西亚杯—北京
6, SS, 4.2, 17.1, 14.2, 0, 0.0%, 34:11, 0, 0, 27.41, 2.2, 59.0%, 0.9, 58.3%, 0.00, 0.00, 0.0%, 6.0, 5.6, 2015, 2015德玛西亚杯—北京
7, KNG, 2.8, 13.4, 16.9, 0, 0.0%, 32:0, 0, 0, 25.99, 1.4, 40.6%, 0.2, 50.0%, 0.00, 0.00, 0.0%, 5.4, 6.1, 2015, 2015德玛西亚杯—北京
8, M3, 3.5, 12.0, 11.3, 0, 0.0%, 31:46, 0, 0, 29.53, 2.2, 65.0%, 0.5, 60.0%, 0.00, 0.00, 0.0%, 4.8, 4.2, 2015, 2015德玛西亚杯—北京
9, VG, 5.5, 20.0, 13.2, 0, 0.0%, 34:28, 0, 0, 27.59, 3.0, 70.6%, 1.5, 85.7%, 0.00, 0.00, 0.0%, 7.2, 3.5, 2015, 2015德玛西亚杯—北京
10, KX, 2.2, 17.0, 21.8, 0, 0.0%, 34:26, 0, 0, 25.25, 3.5, 70.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 4.0, 7.8, 2015, 2015德玛西亚杯—北京
11, UP, 4.7, 15.6, 10.8, 0, 0.0%, 30:44, 0, 0, 27.86, 1.8, 53.7%, 0.6, 50.0%, 0.00, 0.00, 0.0%, 5.4, 4.8, 2015, 2015德玛西亚杯—北京
12, NB, 3.1, 17.1, 18.4, 0, 0.0%, 36:43, 0, 0, 27.90, 1.6, 35.1%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 5.8, 5.4, 2015, 2015德玛西亚杯—北京
13, RNG, 3.1, 14.7, 14.3, 0, 0.0%, 34:59, 0, 0, 26.39, 1.6, 44.0%, 0.1, 25.0%, 0.00, 0.00, 0.0%, 5.6, 6.4, 2015, 2015德玛西亚杯—北京
14, WE, 4.0, 14.3, 13.6, 0, 0.0%, 33:58, 0, 0, 25.62, 1.1, 31.2%, 0.2, 22.2%, 0.00, 0.00, 0.0%, 5.8, 6.2, 2015, 2015德玛西亚杯—北京
15, SDG, 4.1, 17.4, 14.7, 0, 0.0%, 34:41, 0, 0, 26.81, 2.1, 51.7%, 0.1, 14.3%, 0.00, 0.00, 0.0%, 6.0, 5.0, 2015, 2015德玛西亚杯—北京
16, AD Gaming, 2.1, 12.3, 17.3, 0, 0.0%, 32:2, 0, 0, 26.16, 1.0, 30.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 3.0, 10.0, 2015, 2015德玛西亚杯—北京
17, WE.F, 3.2, 16.4, 18.4, 0, 0.0%, 39:2, 0, 0, 24.46, 2.1, 45.5%, 0.3, 40.0%, 0.00, 0.00, 0.0%, 6.1, 6.6, 2015, 2015德玛西亚杯—北京
18, Newbee（原）, 1.9, 13.7, 21.7, 0, 0.0%, 38:26, 0, 0, 25.44, 2.7, 53.3%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 4.0, 9.0, 2015, 2015德玛西亚杯—北京
19, SAT, 3.0, 18.1, 20.3, 0, 0.0%, 32:32, 0, 0, 26.30, 2.3, 55.2%, 0.6, 40.0%, 0.00, 0.00, 0.0%, 4.9, 6.3, 2015, 2015德玛西亚杯—北京
20, ST, 1.1, 4.7, 12.7, 0, 0.0%, 26:47, 0, 0, 27.35, 0.7, 25.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 1.3, 5.0, 2015, 2015德玛西亚杯—北京
21, 2144D, 1.7, 13.3, 21.7, 0, 0.0%, 37:5, 0, 0, 25.43, 2.7, 61.5%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 4.7, 7.7, 2015, 2015德玛西亚杯—北京
22, OMD, 1.3, 9.3, 20.7, 0, 0.0%, 28:6, 0, 0, 25.15, 1.3, 44.4%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 2.0, 6.0, 2015, 2015德玛西亚杯—北京
23, 2144, 1.2, 6.8, 16.0, 0, 0.0%, 26:42, 0, 0, 25.66, 0.8, 25.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 3.0, 4.8, 2015, 2015德玛西亚杯—北京
24, TBG, 2.1, 13.0, 22.0, 0, 0.0%, 35:0, 0, 0, 28.43, 1.2, 31.2%, 0.8, 50.0%, 0.00, 0.00, 0.0%, 4.8, 7.0, 2015, 2015德玛西亚杯—北京
25, GT, 3.4, 15.4, 15.8, 0, 0.0%, 34:25, 0, 0, 25.52, 2.6, 65.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 5.4, 6.0, 2015, 2015德玛西亚杯—北京
26, EPC, 1.2, 7.7, 23.0, 0, 0.0%, 34:58, 0, 0, 27.34, 0.7, 16.7%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 2.0, 9.3, 2015, 2015德玛西亚杯—北京
1, OMG, 3.7, 14.0, 14.0, 0, 0.0%, 34:58, 57371, 1640, 27.37, 1.8, 47.2%, 0.2, 27.3%, 0.00, 0.00, 0.0%, 5.8, 5.7, 2015, 2015LPL夏季赛
2, EDG, 4.8, 17.0, 12.2, 0, 0.0%, 36:38, 63072, 1721, 27.91, 2.5, 58.1%, 0.6, 61.5%, 0.00, 0.00, 0.0%, 6.8, 5.0, 2015, 2015LPL夏季赛
3, IG, 3.8, 13.9, 13.1, 0, 0.0%, 35:27, 59304, 1672, 28.39, 2.1, 50.4%, 0.5, 53.4%, 0.00, 0.00, 0.0%, 6.2, 5.4, 2015, 2015LPL夏季赛
4, LGD, 4.2, 16.0, 13.6, 0, 0.0%, 35:33, 60111, 1690, 28.13, 2.3, 53.7%, 0.6, 63.2%, 0.00, 0.00, 0.0%, 6.1, 5.0, 2015, 2015LPL夏季赛
5, SS, 3.6, 13.5, 13.3, 0, 0.0%, 35:31, 58963, 1659, 28.11, 2.3, 54.9%, 0.2, 37.9%, 0.00, 0.00, 0.0%, 5.9, 5.9, 2015, 2015LPL夏季赛
6, KNG, 3.1, 13.4, 16.0, 0, 0.0%, 36:9, 57618, 1593, 26.67, 1.8, 46.5%, 0.4, 54.3%, 0.00, 0.00, 0.0%, 4.9, 5.9, 2015, 2015LPL夏季赛
7, M3, 2.9, 13.0, 15.4, 0, 0.0%, 35:53, 57744, 1609, 28.05, 1.9, 47.6%, 0.3, 42.9%, 0.00, 0.00, 0.0%, 5.1, 6.7, 2015, 2015LPL夏季赛
8, VG, 3.6, 14.1, 14.9, 0, 0.0%, 35:12, 57444, 1631, 26.86, 3.2, 64.5%, 0.6, 68.6%, 0.00, 0.00, 0.0%, 5.8, 5.8, 2015, 2015LPL夏季赛
9, UP, 3.2, 15.5, 17.2, 0, 0.0%, 35:56, 58249, 1620, 26.46, 1.4, 25.4%, 0.2, 27.0%, 0.00, 0.00, 0.0%, 4.3, 5.4, 2015, 2015LPL夏季赛
10, NB, 4.4, 15.4, 13.4, 0, 0.0%, 35:46, 60144, 1681, 27.67, 1.9, 45.8%, 0.4, 53.3%, 0.00, 0.00, 0.0%, 6.2, 5.3, 2015, 2015LPL夏季赛
11, RNG, 3.7, 14.4, 14.1, 0, 0.0%, 36:51, 60368, 1638, 27.51, 1.5, 43.2%, 0.2, 36.0%, 0.00, 0.00, 0.0%, 4.6, 5.0, 2015, 2015LPL夏季赛
12, WE, 2.8, 11.9, 14.8, 0, 0.0%, 34:34, 55258, 1598, 27.11, 2.9, 62.6%, 0.3, 50.0%, 0.00, 0.00, 0.0%, 4.6, 5.6, 2015, 2015LPL夏季赛
13, SDG, 3.1, 13.6, 16.6, 0, 0.0%, 39:35, 63130, 1594, 27.31, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2015, 2015LPL夏季赛
14, WE.F, 3.0, 16.0, 19.8, 0, 0.0%, 35:36, 57967, 1628, 26.80, 0.0, 0.0%, 0.0, 0.0%, 0.00, 0.00, 0.0%, 0.0, 0.0, 2015, 2015LPL夏季赛
